C,gamma
32.0,0.0625
256.0,0.0625
32.0,0.0078125
256.0,0.0625
32.0,0.0078125
4.0,0.0009765625
32.0,0.0078125
0.5,0.0078125
32.0,0.0009765625
32.0,0.5
4.0,0.0625
4.0,0.0009765625
4.0,0.0009765625
0.0009765625,0.0009765625
0.0009765625,0.0009765625
0.0009765625,0.0009765625
4.0,0.0009765625
0.0009765625,0.0009765625
0.0009765625,0.0009765625
0.0009765625,0.0009765625
4.0,0.0009765625
4.0,0.0009765625
0.0009765625,0.0009765625
4.0,0.0009765625
4.0,0.0009765625
0.0009765625,0.0009765625
0.0009765625,0.0009765625
4.0,0.0009765625
256.0,0.0009765625
256.0,0.0009765625
0.0009765625,0.0009765625
4.0,0.0078125
0.0625,0.0078125
256.0,0.0078125
32.0,0.0625
32.0,0.0078125
32.0,0.0625
256.0,0.0078125
4.0,0.0009765625
0.0009765625,0.0009765625
0.5,0.0009765625
32.0,0.0009765625
4.0,4.0
4.0,0.0625
0.0009765625,0.0009765625
4.0,0.0009765625
0.0009765625,0.0009765625
0.0009765625,0.0009765625
0.0009765625,0.0009765625
0.0009765625,0.0009765625
0.0009765625,0.0009765625
0.0009765625,0.0009765625
4.0,0.0009765625
0.0009765625,0.0009765625
0.0009765625,0.0009765625
4.0,0.0009765625
0.0009765625,0.0009765625
4.0,0.0009765625
0.0009765625,0.0009765625
0.0009765625,0.0009765625
0.0009765625,0.0009765625
256.0,0.0009765625
256.0,0.0009765625
0.0009765625,0.0009765625
0.5,0.0078125
0.5,0.0078125
256.0,0.0625
32.0,0.0625
256.0,0.0009765625
32.0,0.0625
4.0,0.0625
4.0,0.0009765625
4.0,0.0009765625
4.0,0.0009765625
256.0,0.0009765625
4.0,4.0
256.0,0.0078125
0.0009765625,0.0009765625
4.0,0.0009765625
0.0009765625,0.0009765625
0.0009765625,0.0009765625
0.0009765625,0.0009765625
0.0009765625,0.0009765625
0.0009765625,0.0009765625
0.0009765625,0.0009765625
4.0,0.0009765625
0.0009765625,0.0009765625
0.0009765625,0.0009765625
0.0009765625,0.0009765625
4.0,0.0009765625
4.0,0.0009765625
0.0009765625,0.0009765625
0.0009765625,0.0009765625
0.0009765625,0.0009765625
256.0,0.0009765625
256.0,0.0009765625
0.0009765625,0.0009765625
4.0,0.0009765625
0.0625,0.0078125
0.5,0.5
256.0,0.0009765625
256.0,0.0009765625
32.0,0.0009765625
256.0,0.0009765625
256.0,0.0009765625
256.0,0.0009765625
4.0,0.0009765625
0.0009765625,0.0009765625
0.5,0.0078125
0.5,0.0078125
4.0,0.0625
32.0,0.0078125
32.0,0.0625
0.0009765625,0.0009765625
0.0009765625,0.0009765625
0.0009765625,0.0009765625
256.0,0.0009765625
4.0,0.0078125
256.0,0.0009765625
0.5,0.0625
256.0,0.0009765625
256.0,0.0009765625
32.0,0.0078125
32.0,0.0625
32.0,0.0009765625
0.0009765625,0.0009765625
256.0,0.0009765625
4.0,0.0078125
0.0009765625,0.0009765625
0.0009765625,0.0009765625
0.5,0.0009765625
0.0625,0.0009765625
32.0,0.0625
4.0,0.0009765625
4.0,0.0009765625
0.0009765625,0.0009765625
0.5,0.0078125
4.0,0.0009765625
4.0,0.0009765625
0.0009765625,0.0009765625
0.0009765625,0.0009765625
4.0,0.0625
0.0009765625,0.0009765625
0.5,0.5
0.5,256.0
256.0,0.0078125
32.0,0.0078125
4.0,0.5
0.0009765625,0.0009765625
0.5,0.0009765625
256.0,0.0625
32.0,0.0078125
32.0,0.0625
4.0,0.0009765625
0.0009765625,0.0009765625
4.0,32.0
32.0,0.0625
0.0009765625,0.0009765625
32.0,0.0078125
0.5,0.0009765625
0.5,0.0078125
0.5,0.0078125
32.0,0.0009765625
4.0,0.0009765625
32.0,0.0625
